avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths
315210.9,0.05,0.314,0.121,67185.96,0,100
483386.74,0.038,0.292,0.125,210459.98,0,113
488210.14,0.039,0.386,0.197,520559.06,1,105
350279.88,0.04,0.408,0.129,365002.37,0,108
449978.33,0.045,0.343,0.189,201947.71,0,90
372162.82,0.036,0.309,0.174,120414.1,0,111
336135.02,0.046,0.433,0.215,107466.63,0,78
310274.76,0.047,0.402,0.168,168219.83,0,100
290637.54,0.027,0.348,0.172,308230.19,0,120
460147.0,0.027,0.274,0.186,418394.72,0,96
288639.3,0.035,0.314,0.167,187126.78,0,109
514838.34,0.036,0.349,0.162,442364.44,0,106
452262.27,0.025,0.45,0.12,370756.36,0,90
407680.62,0.033,0.361,0.212,371474.38,0,77
509474.61,0.047,0.3,0.119,464001.86,0,81
397327.2,0.025,0.286,0.173,435937.34,0,120
475216.81,0.037,0.356,0.2,225841.8,1,103
334811.43,0.05,0.342,0.096,155373.03,0,75
310334.61,0.035,0.374,0.177,313378.62,0,107
386386.87,0.041,0.328,0.021,368848.46,0,118
311632.76,0.046,0.337,0.193,295649.21,0,92
321862.65,0.024,0.31,0.149,276482.0,0,98
296303.69,0.023,0.32,0.109,215880.46,0,77
296962.82,0.028,0.382,0.204,194759.9,0,105
428610.5,0.027,0.386,0.098,214554.38,0,104
421538.38,0.039,0.36,0.126,373574.77,0,116
406779.23,0.036,0.366,0.096,268581.5,0,112
330729.62,0.042,0.33,0.17,315821.85,0,82
508543.12,0.047,0.269,0.149,103058.48,0,114
422779.45,0.03,0.347,0.193,137837.64,0,77
285808.12,0.036,0.372,0.248,148551.07,0,98
297676.69,0.022,0.268,0.13,278042.0,0,92
285634.38,0.024,0.398,0.1,279576.82,0,115
318777.07,0.022,0.344,0.098,163768.81,0,78
486485.96,0.045,0.446,0.077,639332.39,0,83
488219.59,0.033,0.347,0.153,220490.1,0,76
348895.16,0.032,0.478,0.059,282346.52,0,96
501077.45,0.041,0.379,0.204,204076.24,1,86
514361.53,0.036,0.274,0.173,474018.15,0,108
478749.28,0.039,0.352,0.145,358708.14,0,118
418885.43,0.042,0.376,0.17,158763.09,0,111
295418.89,0.021,0.366,0.121,166054.06,0,104
489932.86,0.022,0.318,0.182,274653.71,0,103
511479.15,0.037,0.368,0.201,108461.86,0,116
482121.03,0.026,0.311,0.156,582619.49,0,80
301906.62,0.028,0.347,0.077,213012.66,1,83
297127.21,0.046,0.404,0.199,257456.09,0,80
431745.02,0.025,0.367,0.023,219682.74,0,97
354773.66,0.024,0.342,0.194,384336.66,1,119
519907.39,0.037,0.362,0.15,439950.74,0,105
444568.05,0.042,0.337,0.181,165498.42,1,76
475176.06,0.023,0.282,0.147,173811.86,0,86
477963.64,0.042,0.338,0.162,134994.27,0,75
420796.12,0.034,0.335,0.165,455445.71,0,112
427955.97,0.049,0.394,0.103,313831.7,0,115
301243.46,0.023,0.371,0.118,98289.09,0,110
311396.44,0.047,0.282,0.147,326718.82,0,93
327838.18,0.042,0.246,0.078,285944.86,0,106
396610.61,0.023,0.363,0.16,325232.09,0,98
485773.04,0.04,0.386,0.118,342459.57,0,86
512770.44,0.047,0.415,0.269,471083.52,1,108
374324.26,0.048,0.362,0.215,130980.55,0,91
479979.42,0.029,0.39,0.184,437472.61,0,114
476668.98,0.049,0.46,0.111,245424.34,0,76
491853.22,0.033,0.361,0.117,269378.44,0,96
294181.91,0.025,0.372,0.274,285799.94,0,103
358769.13,0.041,0.346,0.182,255545.78,0,91
408266.85,0.026,0.411,0.232,195606.55,0,102
306604.88,0.027,0.369,0.115,99013.07,0,112
392600.3,0.05,0.348,0.056,473756.57,0,78
427142.87,0.049,0.295,0.157,347524.56,0,73
523029.37,0.029,0.347,0.155,271085.38,0,110
485306.0,0.036,0.301,0.169,291826.59,0,89
406328.81,0.036,0.392,0.166,309008.67,0,90
294244.82,0.033,0.343,0.067,272347.8,1,84
351236.69,0.032,0.403,0.224,154415.41,0,118
505211.72,0.031,0.352,0.074,183564.06,0,88
469792.42,0.034,0.324,0.241,114578.85,0,107
421159.77,0.027,0.427,0.142,100522.54,0,82
332690.58,0.036,0.331,0.18,238116.33,0,111
499834.92,0.025,0.378,0.128,153558.48,1,92
520653.0,0.044,0.378,0.113,545659.74,0,104
511535.71,0.035,0.313,0.086,367897.5,0,114
297625.85,0.041,0.309,0.125,231792.33,0,84
302149.75,0.031,0.341,0.133,205864.49,0,90
