avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,anomaly_score,anomalyFlag,pdLabel,PD
315210.9,0.05,0.314,0.121,67185.96,0,100,0.14658232639425067,0,0,0.003443676170445
483386.74,0.038,0.292,0.125,210459.98,0,113,0.11303749362636328,0,0,0.0078198170015516
488210.14,0.039,0.386,0.197,520559.06,1,105,0.041057284790569804,0,0,0.0593205980485205
350279.88,0.04,0.408,0.129,365002.37,0,108,0.12483111363224886,0,0,0.0156053696449617
449978.33,0.045,0.343,0.189,201947.71,0,90,0.1448759630698947,0,0,0.0116090777663058
372162.82,0.036,0.309,0.174,120414.1,0,111,0.1480892288396335,0,0,0.0087036313325088
336135.02,0.046,0.433,0.215,107466.63,0,78,0.17388758519826664,0,0,0.0186468055686925
310274.76,0.047,0.402,0.168,168219.83,0,100,0.18017330678635468,0,0,0.0139984888244746
290637.54,0.027,0.348,0.172,308230.19,0,120,0.14254466992894826,0,0,0.0121526281120385
460147.0,0.027,0.274,0.186,418394.72,0,96,0.08833798762029976,0,0,0.0062312093838103
288639.3,0.035,0.314,0.167,187126.78,0,109,0.15910385641500174,0,0,0.0058310730669432
514838.34,0.036,0.349,0.162,442364.44,0,106,0.09293849163735152,0,0,0.0195853410348468
452262.27,0.025,0.45,0.12,370756.36,0,90,0.10250972278995923,0,0,0.0221293280972854
407680.62,0.033,0.361,0.212,371474.38,0,77,0.1276400760709378,0,0,0.0103859485163468
509474.61,0.047,0.3,0.119,464001.86,0,81,0.0741020691294878,0,0,0.0038884508302826
397327.2,0.025,0.286,0.173,435937.34,0,120,0.09945784202992808,0,0,0.0093085488602032
475216.81,0.037,0.356,0.2,225841.8,1,103,0.09619651622267988,0,0,0.0393806932250903
334811.43,0.05,0.342,0.096,155373.03,0,75,0.15232974445030045,0,0,0.0021434154926742
310334.61,0.035,0.374,0.177,313378.62,0,107,0.14853158926415672,0,0,0.0131783222861051
386386.87,0.041,0.328,0.021,368848.46,0,118,0.07972805074000622,0,0,0.0036891616097761
311632.76,0.046,0.337,0.193,295649.21,0,92,0.1494934432394981,0,0,0.0066809101107913
321862.65,0.024,0.31,0.149,276482.0,0,98,0.13738864387866778,0,0,0.004084403931051
296303.69,0.023,0.32,0.109,215880.46,0,77,0.1393160344319787,0,0,0.001669787112832
296962.82,0.028,0.382,0.204,194759.9,0,105,0.17344032395897974,0,0,0.0163525352621092
