avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,PD,anomaly_score,prob_high,prob_medium,prob_low,RuleBasedCreditScore,MLSignalBasedCreditScore,HybridCreditScore
315210.9,0.05,0.314,0.121,67185.96,0,100,0.003443676170445,0.1465823263942506,0.0,0.0004577181472985,0.9995422818527016,785,508,644
483386.74,0.038,0.292,0.125,210459.98,0,113,0.0078198170015516,0.1130374936263632,0.0002679088316689,0.0,0.999732091168331,799,497,666
488210.14,0.039,0.386,0.197,520559.06,1,105,0.0593205980485205,0.0410572847905698,0.0108681195328787,0.0123432729048089,0.976788607562312,662,456,577
350279.88,0.04,0.408,0.129,365002.37,0,108,0.0156053696449617,0.1248311136322488,0.0,0.0001260563622988,0.9998739436377012,773,478,684
449978.33,0.045,0.343,0.189,201947.71,0,90,0.0116090777663058,0.1448759630698947,0.0,0.0,1.0,784,483,631
372162.82,0.036,0.309,0.174,120414.1,0,111,0.0087036313325088,0.1480892288396335,0.0,0.0,1.0,814,499,716
336135.02,0.046,0.433,0.215,107466.63,0,78,0.0186468055686925,0.1738875851982666,0.0,0.0,1.0,798,473,649
310274.76,0.047,0.402,0.168,168219.83,0,100,0.0139984888244746,0.1801733067863546,0.0,0.0,1.0,774,542,659
290637.54,0.027,0.348,0.172,308230.19,0,120,0.0121526281120385,0.1425446699289482,0.0,0.0,1.0,777,469,648
460147.0,0.027,0.274,0.186,418394.72,0,96,0.0062312093838103,0.0883379876202997,0.0002423935736019,0.0,0.9997576064263982,790,442,630
288639.3,0.035,0.314,0.167,187126.78,0,109,0.0058310730669432,0.1591038564150017,0.0,0.0,1.0,784,502,682
514838.34,0.036,0.349,0.162,442364.44,0,106,0.0195853410348468,0.0929384916373515,0.0,0.0002629519363899,0.99973704806361,817,466,660
452262.27,0.025,0.45,0.12,370756.36,0,90,0.0221293280972854,0.1025097227899592,0.000904822520705,0.0005793211778019,0.9985158563014932,805,468,686
407680.62,0.033,0.361,0.212,371474.38,0,77,0.0103859485163468,0.1276400760709378,0.0,0.000228960589724,0.9997710394102758,791,488,682
509474.61,0.047,0.3,0.119,464001.86,0,81,0.0038884508302826,0.0741020691294878,0.0004837108112147,0.0,0.9995162891887852,753,492,631
397327.2,0.025,0.286,0.173,435937.34,0,120,0.0093085488602032,0.099457842029928,0.0002655637242369,0.0,0.999734436275763,815,541,716
475216.81,0.037,0.356,0.2,225841.8,1,103,0.0393806932250903,0.0961965162226798,0.0047072571065168,0.0058374643390109,0.9894552785544716,746,524,643
334811.43,0.05,0.342,0.096,155373.03,0,75,0.0021434154926742,0.1523297444503004,0.0,0.0,1.0,766,486,627
310334.61,0.035,0.374,0.177,313378.62,0,107,0.0131783222861051,0.1485315892641567,0.0,0.0,1.0,782,508,673
386386.87,0.041,0.328,0.021,368848.46,0,118,0.0036891616097761,0.0797280507400062,0.0006550572393577,0.0034327127506041,0.9959122300100384,816,520,732
311632.76,0.046,0.337,0.193,295649.21,0,92,0.0066809101107913,0.1494934432394981,0.0,0.0,1.0,788,481,644
