avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,RuleBasedCreditScore
315210.9,0.05,0.314,0.121,67185.96,0,100,783
483386.74,0.038,0.292,0.125,210459.98,0,113,813
488210.14,0.039,0.386,0.197,520559.06,1,105,732
350279.88,0.04,0.408,0.129,365002.37,0,108,841
449978.33,0.045,0.343,0.189,201947.71,0,90,791
372162.82,0.036,0.309,0.174,120414.1,0,111,808
336135.02,0.046,0.433,0.215,107466.63,0,78,831
310274.76,0.047,0.402,0.168,168219.83,0,100,847
290637.54,0.027,0.348,0.172,308230.19,0,120,819
460147.0,0.027,0.274,0.186,418394.72,0,96,792
288639.3,0.035,0.314,0.167,187126.78,0,109,774
514838.34,0.036,0.349,0.162,442364.44,0,106,809
452262.27,0.025,0.45,0.12,370756.36,0,90,818
407680.62,0.033,0.361,0.212,371474.38,0,77,785
509474.61,0.047,0.3,0.119,464001.86,0,81,820
397327.2,0.025,0.286,0.173,435937.34,0,120,797
475216.81,0.037,0.356,0.2,225841.8,1,103,726
334811.43,0.05,0.342,0.096,155373.03,0,75,772
310334.61,0.035,0.374,0.177,313378.62,0,107,794
386386.87,0.041,0.328,0.021,368848.46,0,118,778
311632.76,0.046,0.337,0.193,295649.21,0,92,790
321862.65,0.024,0.31,0.149,276482.0,0,98,818
296303.69,0.023,0.32,0.109,215880.46,0,77,809
296962.82,0.028,0.382,0.204,194759.9,0,105,855
428610.5,0.027,0.386,0.098,214554.38,0,104,801
421538.38,0.039,0.36,0.126,373574.77,0,116,813
406779.23,0.036,0.366,0.096,268581.5,0,112,794
330729.62,0.042,0.33,0.17,315821.85,0,82,813
508543.12,0.047,0.269,0.149,103058.48,0,114,815
422779.45,0.03,0.347,0.193,137837.64,0,77,787
285808.12,0.036,0.372,0.248,148551.07,0,98,828
297676.69,0.022,0.268,0.13,278042.0,0,92,786
285634.38,0.024,0.398,0.1,279576.82,0,115,805
318777.07,0.022,0.344,0.098,163768.81,0,78,808
