avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,anomaly_score,anomalyFlag
315210.9,0.05,0.314,0.121,67185.96,0,100,0.1534405621865611,0
483386.74,0.038,0.292,0.125,210459.98,0,113,0.11909984992984413,0
488210.14,0.039,0.386,0.197,520559.06,1,105,0.039216129691687085,0
350279.88,0.04,0.408,0.129,365002.37,0,108,0.13226408615907437,0
449978.33,0.045,0.343,0.189,201947.71,0,90,0.14647461196690192,0
372162.82,0.036,0.309,0.174,120414.1,0,111,0.15677135983049012,0
336135.02,0.046,0.433,0.215,107466.63,0,78,0.17472427932842077,0
310274.76,0.047,0.402,0.168,168219.83,0,100,0.17646336353843456,0
290637.54,0.027,0.348,0.172,308230.19,0,120,0.1505973677857822,0
460147.0,0.027,0.274,0.186,418394.72,0,96,0.08714290617748632,0
288639.3,0.035,0.314,0.167,187126.78,0,109,0.1662184713798398,0
514838.34,0.036,0.349,0.162,442364.44,0,106,0.09848257930336657,0
452262.27,0.025,0.45,0.12,370756.36,0,90,0.10765716646465373,0
407680.62,0.033,0.361,0.212,371474.38,0,77,0.13318610279138005,0
509474.61,0.047,0.3,0.119,464001.86,0,81,0.07598180861899373,0
397327.2,0.025,0.286,0.173,435937.34,0,120,0.09776237117638764,0
475216.81,0.037,0.356,0.2,225841.8,1,103,0.0926891212449853,0
334811.43,0.05,0.342,0.096,155373.03,0,75,0.15485788081599666,0
310334.61,0.035,0.374,0.177,313378.62,0,107,0.1537491063326502,0
386386.87,0.041,0.328,0.021,368848.46,0,118,0.09248014160682105,0
311632.76,0.046,0.337,0.193,295649.21,0,92,0.1547113123587726,0
321862.65,0.024,0.31,0.149,276482.0,0,98,0.14324042832748707,0
296303.69,0.023,0.32,0.109,215880.46,0,77,0.14630754360969156,0
296962.82,0.028,0.382,0.204,194759.9,0,105,0.1737353579013417,0
428610.5,0.027,0.386,0.098,214554.38,0,104,0.12961225081058664,0
421538.38,0.039,0.36,0.126,373574.77,0,116,0.1274926996504528,0
